,Unnamed: 0,full_name,code,team,element_type,now_cost,total_points,points_per_game,minutes,goals_scored,assists,goals_conceded,clean_sheets,influence,creativity,threat,Unnamed: 16,id,player_name,time,xG,xA,shots,key_passes,yellow_cards,npxG,xGChain,xGBuildup,xP
4,482,Adam Armstrong,155511,17,4,55,5,2.5,74,0,1,2,0,17.4,11.9,5,147,4419,Adam Armstrong,73,0.051574197,0.702688754,1,1,0,0.051574197,0.770724561,0.719150364,13.0
8,243,Aleksandar MitroviÄ‡,128389,9,4,66,12,6.0,180,2,0,2,1,87.8,26.0,92,2,773,Aleksandar Mitrovic,180,1.815388024,0.148225911,7,2,1,0.293050319,0.34805689,0.078902163,13.0
28,456,Brennan Johnson,242898,16,4,60,3,1.5,180,0,0,2,1,1.6,15.2,23,325,10760,Brennan Johnson,180,0.11072126,0.574491143,2,1,1,0.11072126,0.812433779,0.127221376,13.0
31,101,Bryan Mbeumo,446008,4,4,60,8,4.0,162,1,0,2,1,44.0,18.6,50,28,6552,Bryan Mbeumo,167,0.472263366,0.185684502,4,1,0,0.472263366,0.657947868,0.0,13.0
34,416,Callum Wilson,75115,15,4,75,8,4.0,175,1,0,0,2,35.2,40.1,51,12,468,Callum Wilson,179,0.719353974,0.18924227,4,3,0,0.719353974,0.930683937,0.022087697,29.8
35,485,Che Adams,200439,17,4,64,2,2.0,90,0,0,2,0,5.2,13.5,3,238,7700,Che Adams,90,0.011730433,0.013560585,1,1,0,0.011730433,1.096614122,1.071323156,13.0
42,380,Cristiano Ronaldo dos Santos Aveiro,14937,14,4,104,3,1.5,127,0,0,4,0,12.4,47.1,46,132,2371,Cristiano Ronaldo,125,0.271831043,0.139890939,7,4,0,0.271831043,0.52886153,0.139813229,29.8
47,29,Danny Ings,84939,2,4,70,7,3.5,142,1,0,1,1,32.8,22.5,80,18,986,Danny Ings,150,0.441446558,0.015351142,5,1,2,0.441446558,0.533509552,0.076711841,13.0
49,116,Danny Welbeck,50175,5,4,65,9,4.5,180,0,1,1,1,27.2,47.4,76,55,501,Danny Welbeck,180,0.482833162,0.641282015,6,4,0,0.482833162,1.654519141,0.54653259,29.8
50,343,Darwin NÃºÃ±ez Ribeiro,447203,12,4,90,7,3.5,95,1,1,2,0,53.2,21.7,156,38,10720,Darwin NÃºÃ±ez,97,2.495908499,0.491571009,9,2,0,2.495908499,3.024283171,0.036803596,13.0
60,67,Dominic Solanke,154566,3,4,59,2,2.0,90,0,0,0,1,4.4,0.6,43,113,1679,Dominic Solanke,90,0.186297402,0.0,3,0,0,0.186297402,0.448578537,0.26228115,13.0
70,370,Erling Haaland,223094,13,4,117,18,9.0,150,2,1,0,2,80.8,18.1,96,5,8260,Erling Haaland,160,2.387539431,0.41682297,7,1,0,1.626370475,2.150000572,0.106807135,13.0
76,26,Gabriel Fernando de Jesus,205651,1,4,81,21,10.5,165,2,2,2,1,106.0,36.9,143,3,5543,Gabriel Jesus,172,2.037570447,0.577289581,8,3,0,2.037570447,2.103009135,0.06567842,29.8
79,553,Gianluca Scamacca,195899,19,4,70,2,1.0,54,0,0,1,0,0.0,1.8,16,186,6253,Gianluca Scamacca,47,0.030155944,0.0,1,0,0,0.030155944,0.053988615,0.023832671,13.0
83,503,Harry Kane,78830,18,4,114,10,5.0,180,1,0,3,0,54.2,55.3,78,15,647,Harry Kane,180,0.972694322,0.863401711,5,5,0,0.972694322,1.34131223,0.260683656,29.8
92,86,Ivan Toney,144485,4,4,71,17,8.5,180,1,2,2,1,76.6,68.9,39,19,998,Ivan Toney,180,0.644004365,1.022186697,3,7,0,0.644004365,1.066922486,0.049258433,29.8
105,267,Jamie Vardy,101668,10,4,95,7,3.5,159,0,1,5,0,36.0,23.3,6,85,755,Jamie Vardy,164,0.0,0.449764127,0,2,0,0.0,0.466721594,0.016957469,13.0
108,189,Jean-Philippe Mateta,231747,7,4,54,1,1.0,32,0,0,1,0,0.0,11.2,10,167,5735,Jean-Philippe Mateta,31,0.062172938,0.089563519,1,1,0,0.062172938,0.215769529,0.064033084,13.0
132,163,Kai Havertz,219847,6,4,79,3,1.5,163,0,0,1,1,11.6,18.2,84,151,5220,Kai Havertz,174,0.744145989,0.066325568,5,1,1,0.744145989,0.894338161,0.2095671,13.0
137,63,Kieffer Moore,128340,3,4,55,8,4.0,179,1,0,4,1,40.2,17.6,21,39,10743,Kieffer Moore,180,0.027238073,0.042054176,1,1,0,0.027238073,0.391076028,0.349021852,13.0
171,537,Michail Antonio,57531,19,4,74,3,1.5,124,0,0,2,0,4.4,20.9,40,58,531,Michail Antonio,133,0.335870199,0.035951018,4,2,0,0.335870199,0.261042863,0.0,13.0
189,187,Odsonne Edouard,199670,7,4,55,1,0.5,84,0,0,1,0,6.6,2.3,57,144,3697,Odsonne Edouard,83,0.516368508,0.0,3,0,1,0.516368508,0.421418585,0.298626274,13.0
191,39,Ollie Watkins,178301,2,4,74,12,6.0,114,0,2,2,0,42.8,36.8,47,273,8865,Ollie Watkins,111,0.506384432,1.16104831,2,3,0,0.506384432,1.759590404,0.092157662,29.8
197,295,Patrick Bamford,106617,11,4,75,6,3.0,110,0,1,1,0,6.4,2.2,75,94,822,Patrick Bamford,113,0.64948836,0.0,4,0,0,0.64948836,0.64948836,0.0,13.0
198,283,Patson Daka,245419,10,4,59,2,1.0,44,0,0,2,0,10.2,3.4,20,301,9738,Patson Daka,39,0.07953465,0.0,1,0,0,0.07953465,0.142783403,0.063248761,13.0
212,530,Richarlison de Andrade,212319,18,4,85,1,1.0,33,0,0,1,0,0.4,0.3,0,173,6026,Richarlison,30,0.0,0.0,0,0,0,0.0,0.0,0.0,13.0
216,326,Roberto Firmino,92217,12,4,80,1,1.0,50,0,0,1,0,7.4,4.2,6,50,482,Roberto Firmino,53,0.0,0.0,0,0,0,0.0,0.016877776,0.016877776,13.0
226,453,Sam Surridge,217331,16,4,50,2,1.0,80,0,0,1,0,7.4,1.1,8,160,5602,Sam Surridge,80,0.117727384,0.0,2,0,1,0.117727384,0.117727384,0.0,13.0
233,459,Taiwo Awoniyi,210156,16,4,59,9,4.5,98,1,0,1,1,34.8,7.6,17,33,7814,Taiwo Awoniyi,100,0.651374817,0.0,2,0,0,0.651374817,0.712541997,0.061167177,13.0
